uniqueId,id,category,desc,checkbrand,price,brand,gender,size,product,collection,style,lenscolour,diamondcaratage,diamondclarity,diamondcolor,goldkaratage,materialcolour,occasion,productype,stonecaratage,stonetype,usageoccasion,discounts,discountprice,offers,cfaproductcode,themedesign,totalnumberofstones,uksize,materialcode,shape,description,designername,pricinggrouptype,goldpurity,JewelleryType,StoneCombination,FindingType,Height,Width,imageurl,largeimageurl,product_url,operationType,Property 1,Property 2
500005FDAJAB04_3IH000090,500005FDAJAB04_3IH000090,Jewellery,0005FDA - FINGER RING,Tanishq,13197,Tanishq,NA,J,Finger Ring,PRETTY,,WHITE,0.061,VS,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.054,DIAMOND,PARTY,10 Percent On UCP,11912,Offers,72,0005FDA,9,,J,GENERAL,0005FDA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FDAJAB04.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FDAJAB04.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FDAJAB04_3IH000090,update,,
500005FDAJAB04_3IH000091,500005FDAJAB04_3IH000091,Jewellery,0005FDA - FINGER RING,Tanishq,13416,Tanishq,NA,J,Finger Ring,PRETTY,,WHITE,0.061,VS,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.056,DIAMOND,PARTY,10 Percent On UCP,12110,Offers,72,0005FDA,9,,J,GENERAL,0005FDA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FDAJAB04.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FDAJAB04.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FDAJAB04_3IH000091,update,,titanFeed
500005FGALAA09_3IA000057,500005FGALAA09_3IA000057,Jewellery,0005FGA - FINGER RING,Tanishq,11872,Tanishq,UNISEX,L,Finger Ring,Diamond Treats,,WHITE,0.034,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.034,DIAMOND,PARTY,10 Percent On UCP,10716,Offers,72,0005FGA,8,,J,ROUND,0005FGA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FGALAA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FGALAA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FGALAA09_3IA000057,update,,titanFeed
500005FIANAA09_2JA000049,500005FIANAA09_2JA000049,Jewellery,0005FIA - FINGER RING,Tanishq,14960,Tanishq,Women,N,Finger Ring,Diamond Treats,,WHITE,0.08,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.078,DIAMOND,DAILY WEAR,10 Percent On UCP,13503,Offers,72,0005FIA,8,,J,ROUND,0005FIA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FIANAA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FIANAA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FIANAA09_2JA000049,update,,titanFeed
500005FKALAA02_3IH000068,500005FKALAA02_3IH000068,Jewellery,0005FKA - FINGER RING,Tanishq,22317,Tanishq,NA,L,Finger Ring,New Best Seller,,WHITE,0.091,SI2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.09,DIAMOND,DAILY WEAR,10 Percent On UCP,20144,Offers,72,0005FKA,7,,J,GENERAL,0005FKA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FKALAA02.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FKALAA02.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FKALAA02_3IH000068,update,,titanFeed
500005FVAMAA02_3IH000072,500005FVAMAA02_3IH000072,Jewellery,0005FVA - FINGER RING,Tanishq,18217,Tanishq,NA,M,Finger Ring,New Best Seller,,WHITE,0.06,SI2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.063,DIAMOND,PARTY,10 Percent On UCP,16443,Offers,72,0005FVA,6,,J,GENERAL,0005FVA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FVAMAA02.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FVAMAA02.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FVAMAA02_3IH000072,update,,titanFeed
500005FVAMAA02_3IH000073,500005FVAMAA02_3IH000073,Jewellery,0005FVA - FINGER RING,Tanishq,17263,Tanishq,NA,M,Finger Ring,New Best Seller,,WHITE,0.06,SI2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.056,DIAMOND,PARTY,10 Percent On UCP,15582,Offers,72,0005FVA,6,,J,GENERAL,0005FVA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FVAMAA02.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FVAMAA02.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FVAMAA02_3IH000073,update,Products,titanFeed
500005FWAIAA09_2JA000003,500005FWAIAA09_2JA000003,Jewellery,005FWA - FINGER RING,Tanishq,13121,Tanishq,NA,I,Finger Ring,PRETTY,,WHITE,0.068,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.06,DIAMOND,DAILY WEAR,10 Percent On UCP,11843,Offers,72,0005FWA,4,,J,GENERAL,005FWA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FWAIAA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FWAIAA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FWAIAA09_2JA000003,update,Products,titanFeed
500005FWAMAA09_3IH000073,500005FWAMAA09_3IH000073,Jewellery,0005FWA - FINGER RING,Tanishq,13778,Tanishq,NA,M,Finger Ring,Diamond Treats,,WHITE,0.068,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.058,DIAMOND,DAILY WEAR,10 Percent On UCP,12436,Offers,72,0005FWA,4,,J,GENERAL,0005FWA - FINGER RING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005FWAMAA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005FWAMAA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500005FWAMAA09_3IH000073,update,Products,titanFeed
500005SFAABA09_3IH000069,500005SFAABA09_3IH000069,Jewellery,Tanishq-Diamond-Treats-18KT-Yellow-Gold-Diamond-Stud-Earrings,Tanishq,20033,Tanishq,NA,A,Earring,Diamond Treats,,WHITE,0.112,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.113,DIAMOND,PARTY,10 Percent On UCP,18082,Offers,72,0005SFA,10,,J,GENERAL,005SFA - STUD EARRING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005SFAABA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005SFAABA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500005SFAABA09_3IH000069,update,Products,titanFeed
500005SFAABA09_3IH000070,500005SFAABA09_3IH000070,Jewellery,Tanishq-Diamond-Treats-18KT-Yellow-Gold-Diamond-Stud-Earrings,Tanishq,19943,Tanishq,NA,A,Earring,Diamond Treats,,WHITE,0.112,I1/I2,G-H,18KT,Yellow Metal,Free Gold Coin,STUDDED,0.111,DIAMOND,PARTY,10 Percent On UCP,18001,Offers,72,0005SFA,10,,J,GENERAL,005SFA - STUD EARRING,SARAVANAN,GOLDSTUDDED,18KT,,DIA-RND,,,,https://staticimg.titan.co.in/production/India/Tanishq/small/500005SFAABA09.jpg,https://staticimg.titan.co.in/production/India/Tanishq/large/500005SFAABA09.jpg,https://shop.tanishq.co.in/control/product?product_id=500005SFAABA09_3IH000070,update,Products,titanFeed
